iter	Passed	Remaining
0	145	145406
1	147	73594
2	149	49620
3	150	37584
4	152	30383
5	154	25539
6	156	22263
7	158	19685
8	160	17657
9	161	16031
10	163	14706
11	165	13624
12	167	12684
13	169	11932
14	171	11244
15	172	10630
16	174	10104
17	176	9627
18	177	9185
19	179	8804
20	181	8454
21	183	8169
22	185	7884
23	187	7612
24	188	7367
25	190	7142
26	192	6930
27	194	6736
28	195	6553
29	197	6393
30	199	6232
31	201	6087
32	203	5951
33	205	5831
34	207	5718
35	209	5604
36	211	5501
37	213	5399
38	214	5297
39	217	5219
40	219	5132
41	221	5046
42	223	4965
43	224	4886
44	226	4812
45	228	4740
46	230	4673
47	232	4610
48	234	4547
49	235	4479
50	237	4419
51	239	4362
52	241	4309
53	243	4258
54	244	4205
55	246	4152
56	248	4104
57	250	4065
58	252	4024
59	254	3980
60	255	3934
61	257	3896
62	259	3859
63	261	3820
64	262	3779
65	264	3742
66	266	3707
67	267	3660
68	268	3627
69	270	3594
70	272	3561
71	273	3527
72	275	3495
73	276	3465
74	278	3434
75	280	3406
76	281	3379
77	283	3352
78	285	3324
79	286	3299
80	288	3276
81	290	3251
82	292	3226
83	293	3204
84	295	3176
85	296	3155
86	298	3127
87	299	3107
88	301	3084
89	302	3063
90	304	3042
91	306	3022
92	307	3003
93	309	2985
94	311	2969
95	313	2951
96	315	2936
97	317	2919
98	318	2902
99	320	2886
100	322	2868
101	323	2846
102	324	2830
103	326	2814
104	328	2798
105	330	2784
106	331	2769
107	334	2758
108	336	2748
109	339	2750
110	342	2742
111	344	2730
112	347	2724
113	349	2713
114	351	2707
115	354	2700
116	356	2693
117	359	2684
118	360	2669
119	362	2657
120	364	2648
121	367	2645
122	369	2633
123	371	2623
124	373	2614
125	375	2603
126	377	2592
127	378	2580
128	380	2570
129	382	2562
130	384	2553
131	387	2545
132	389	2536
133	391	2527
134	393	2519
135	395	2511
136	397	2503
137	399	2494
138	401	2485
139	402	2475
140	404	2465
141	406	2457
142	408	2449
143	410	2441
144	413	2435
145	415	2427
146	417	2420
147	419	2412
148	421	2405
149	423	2397
150	425	2392
151	427	2386
152	430	2383
153	433	2379
154	435	2372
155	436	2363
156	438	2355
157	440	2348
158	442	2340
159	444	2336
160	448	2336
161	450	2330
162	453	2326
163	455	2322
164	458	2318
165	460	2311
166	462	2304
167	463	2297
168	465	2289
169	467	2281
170	469	2275
171	470	2267
172	473	2261
173	475	2255
174	477	2248
175	479	2244
176	481	2239
177	483	2232
178	485	2227
179	487	2222
180	488	2210
181	491	2208
182	493	2203
183	496	2200
184	498	2196
185	500	2192
186	503	2187
187	505	2183
188	508	2181
189	510	2178
190	513	2175
191	515	2170
192	519	2170
193	522	2169
194	525	2170
195	528	2166
196	529	2160
197	532	2157
198	535	2154
199	537	2150
200	539	2144
201	543	2145
202	546	2147
203	550	2148
204	553	2144
205	555	2139
206	556	2132
207	558	2126
208	560	2122
209	562	2117
210	564	2112
211	566	2105
212	568	2100
213	570	2094
214	571	2087
215	573	2082
216	575	2078
217	578	2073
218	579	2067
219	581	2062
220	583	2057
221	585	2050
222	586	2044
223	588	2040
224	590	2034
225	592	2029
226	594	2023
227	595	2017
228	597	2012
229	599	2005
230	600	1999
231	603	1998
232	605	1993
233	607	1988
234	609	1983
235	611	1977
236	612	1973
237	614	1968
238	616	1963
239	618	1958
240	620	1953
