iter	Passed	Remaining
0	49	49005
1	49	24781
2	50	16650
3	50	12588
4	51	10173
5	51	8543
6	52	7378
7	52	6501
8	52	5822
9	53	5310
10	54	4872
11	54	4499
12	55	4182
13	55	3915
14	56	3677
15	56	3471
16	56	3289
17	57	3129
18	58	3027
19	59	2908
20	60	2800
21	61	2717
22	61	2619
23	62	2549
24	62	2453
25	63	2381
26	64	2315
27	64	2250
28	65	2180
29	65	2112
30	65	2048
31	65	1989
32	66	1941
33	66	1893
34	66	1843
35	67	1796
36	67	1752
37	67	1710
38	67	1670
39	68	1633
40	68	1597
41	68	1562
42	68	1530
43	69	1500
44	69	1470
45	69	1441
46	69	1413
47	69	1388
48	70	1362
49	70	1337
50	70	1317
51	71	1301
52	72	1289
53	72	1278
54	73	1265
55	73	1246
56	74	1228
57	74	1211
58	74	1192
59	75	1178
60	75	1161
61	76	1150
62	76	1134
63	76	1118
64	76	1103
65	76	1089
66	77	1075
67	77	1061
68	77	1051
69	78	1037
70	78	1024
71	78	1012
72	78	1001
73	79	989
74	79	977
75	79	967
76	79	956
77	80	948
78	81	946
79	81	940
80	82	930
81	82	920
82	82	909
83	82	900
84	82	891
85	83	882
86	83	873
87	83	864
88	83	856
89	83	848
90	84	839
91	84	832
92	84	824
93	84	816
94	84	809
95	85	801
96	85	794
97	85	787
98	85	780
99	85	773
100	86	766
101	86	760
102	86	753
103	86	747
104	86	741
105	87	735
106	87	729
107	87	723
108	87	717
109	88	712
110	88	707
111	88	701
112	88	696
113	88	690
114	89	685
115	89	680
116	89	675
117	89	670
118	89	666
119	90	661
120	90	656
121	90	654
122	91	654
123	92	650
124	92	646
125	92	641
126	92	637
127	92	632
128	93	628
129	93	624
130	93	620
131	93	616
132	93	612
133	94	608
134	94	604
135	94	600
136	94	596
137	94	593
138	95	589
139	95	586
140	95	583
141	96	582
142	96	580
143	97	580
144	98	581
145	99	579
146	99	577
147	99	573
148	99	570
149	99	566
150	100	562
151	100	559
152	100	555
153	100	552
154	100	548
155	100	545
156	100	542
157	101	539
158	101	535
159	101	532
160	101	529
161	101	526
162	101	522
163	101	519
164	102	516
165	102	513
166	102	510
167	102	507
168	102	504
169	102	501
170	102	498
171	103	496
172	103	493
173	103	490
174	103	488
175	103	485
176	103	482
177	104	480
178	104	477
179	104	475
180	104	472
181	104	470
182	104	467
183	104	465
184	104	462
185	105	460
186	105	457
187	105	455
188	105	452
189	105	450
190	105	448
191	105	445
192	106	443
193	106	441
194	106	439
195	106	436
